Epoch: 3190/195, Time  0.347 ( 1.660), Data  0.000 ( 1.281), Loss 7.8847e+00 (8.0244e+00), Acc@1   1.17 (  2.63), Acc@5   4.69 (  7.82)
Epoch: 4  0/195, Time 254.797 (254.797), Data 254.429 (254.429), Loss 7.9306e+00 (7.9306e+00), Acc@1   2.34 (  2.34), Acc@5   8.98 (  8.98)
Epoch: 4 10/195, Time  0.388 (24.093), Data  0.001 (23.635), Loss 7.8942e+00 (7.9090e+00), Acc@1   3.12 (  3.12), Acc@5  10.16 (  8.81)
Epoch: 4 20/195, Time  0.361 (12.794), Data  0.001 (12.381), Loss 7.8581e+00 (7.8688e+00), Acc@1   4.69 (  3.37), Acc@5  11.72 (  9.71)
Epoch: 4 30/195, Time  0.357 ( 8.782), Data  0.000 ( 8.387), Loss 7.7244e+00 (7.8525e+00), Acc@1   2.73 (  3.54), Acc@5  10.16 (  9.94)
Epoch: 4 40/195, Time  0.383 ( 6.745), Data  0.000 ( 6.359), Loss 7.9194e+00 (7.8480e+00), Acc@1   2.34 (  3.56), Acc@5   5.86 (  9.76)
Epoch: 4 50/195, Time  0.361 ( 5.493), Data  0.000 ( 5.112), Loss 7.7360e+00 (7.8501e+00), Acc@1   2.73 (  3.65), Acc@5  10.16 (  9.83)
Epoch: 4 60/195, Time  0.374 ( 4.652), Data  0.001 ( 4.274), Loss 7.9266e+00 (7.8436e+00), Acc@1   3.52 (  3.79), Acc@5  10.94 (  9.96)
Epoch: 4 70/195, Time  0.648 ( 4.060), Data  0.001 ( 3.672), Loss 7.6673e+00 (7.8337e+00), Acc@1   5.08 (  3.74), Acc@5  12.89 ( 10.12)
Epoch: 4 80/195, Time  0.365 ( 3.607), Data  0.001 ( 3.219), Loss 7.7001e+00 (7.8250e+00), Acc@1   4.69 (  3.83), Acc@5   9.38 ( 10.28)
Epoch: 4 90/195, Time  0.356 ( 3.257), Data  0.000 ( 2.865), Loss 7.7614e+00 (7.8135e+00), Acc@1   2.73 (  3.88), Acc@5  11.72 ( 10.50)
Epoch: 4100/195, Time  0.352 ( 2.972), Data  0.000 ( 2.582), Loss 7.8008e+00 (7.8099e+00), Acc@1   3.91 (  3.90), Acc@5   9.38 ( 10.60)
Epoch: 4110/195, Time  0.363 ( 2.739), Data  0.000 ( 2.349), Loss 7.8221e+00 (7.7990e+00), Acc@1   3.52 (  4.03), Acc@5  10.16 ( 10.85)
Epoch: 4120/195, Time  0.388 ( 2.548), Data  0.000 ( 2.155), Loss 7.6943e+00 (7.7906e+00), Acc@1   3.91 (  4.09), Acc@5  13.67 ( 10.96)
Epoch: 4130/195, Time  0.390 ( 2.386), Data  0.000 ( 1.991), Loss 7.7073e+00 (7.7870e+00), Acc@1   3.12 (  4.14), Acc@5  11.72 ( 11.04)
Epoch: 4140/195, Time  0.453 ( 2.245), Data  0.000 ( 1.850), Loss 7.7441e+00 (7.7801e+00), Acc@1   4.30 (  4.20), Acc@5  12.11 ( 11.19)
Epoch: 4150/195, Time  0.345 ( 2.120), Data  0.000 ( 1.727), Loss 7.8792e+00 (7.7716e+00), Acc@1   0.78 (  4.21), Acc@5  10.55 ( 11.28)
Epoch: 4160/195, Time  0.354 ( 2.010), Data  0.000 ( 1.620), Loss 7.5674e+00 (7.7633e+00), Acc@1   3.91 (  4.26), Acc@5  16.80 ( 11.50)
Epoch: 4170/195, Time  0.346 ( 1.913), Data  0.000 ( 1.525), Loss 7.5389e+00 (7.7590e+00), Acc@1   4.30 (  4.28), Acc@5  14.84 ( 11.59)
Epoch: 4180/195, Time  0.348 ( 1.827), Data  0.000 ( 1.441), Loss 7.5433e+00 (7.7523e+00), Acc@1   7.03 (  4.37), Acc@5  13.28 ( 11.70)
Epoch: 4190/195, Time  0.333 ( 1.749), Data  0.000 ( 1.366), Loss 7.7160e+00 (7.7450e+00), Acc@1   3.52 (  4.40), Acc@5  10.94 ( 11.76)
Epoch: 5  0/195, Time 235.578 (235.578), Data 235.169 (235.169), Loss 7.5776e+00 (7.5776e+00), Acc@1   7.03 (  7.03), Acc@5  16.41 ( 16.41)
Epoch: 5 10/195, Time  0.369 (22.440), Data  0.000 (22.065), Loss 7.6029e+00 (7.5541e+00), Acc@1   3.91 (  6.11), Acc@5  14.45 ( 15.41)
Epoch: 5 20/195, Time  0.358 (11.926), Data  0.001 (11.558), Loss 7.4195e+00 (7.5827e+00), Acc@1   7.42 (  6.05), Acc@5  17.97 ( 15.03)
Epoch: 5 30/195, Time  0.351 ( 8.195), Data  0.000 ( 7.830), Loss 7.4948e+00 (7.5633e+00), Acc@1   5.08 (  6.01), Acc@5  13.67 ( 14.99)
Epoch: 5 40/195, Time  0.361 ( 6.285), Data  0.001 ( 5.921), Loss 7.5522e+00 (7.5516e+00), Acc@1   5.47 (  5.84), Acc@5  13.28 ( 14.94)
Epoch: 5 50/195, Time  0.375 ( 5.125), Data  0.000 ( 4.760), Loss 7.6110e+00 (7.5449e+00), Acc@1   4.30 (  5.90), Acc@5  12.89 ( 15.11)
Epoch: 5 60/195, Time  0.372 ( 4.345), Data  0.000 ( 3.980), Loss 7.6063e+00 (7.5452e+00), Acc@1   8.20 (  6.02), Acc@5  16.41 ( 15.20)
Epoch: 5 70/195, Time  0.362 ( 3.785), Data  0.000 ( 3.419), Loss 7.4837e+00 (7.5329e+00), Acc@1   7.42 (  6.23), Acc@5  15.62 ( 15.57)
Epoch: 5 80/195, Time  0.377 ( 3.364), Data  0.000 ( 2.997), Loss 7.4715e+00 (7.5187e+00), Acc@1  10.94 (  6.36), Acc@5  20.70 ( 15.83)
Epoch: 5 90/195, Time  0.376 ( 3.042), Data  0.001 ( 2.668), Loss 7.5481e+00 (7.5141e+00), Acc@1   4.69 (  6.34), Acc@5  12.50 ( 15.86)
Epoch: 5100/195, Time  0.386 ( 2.781), Data  0.000 ( 2.404), Loss 7.4175e+00 (7.5068e+00), Acc@1   6.25 (  6.40), Acc@5  13.67 ( 15.95)
Epoch: 5110/195, Time  0.368 ( 2.566), Data  0.000 ( 2.187), Loss 7.4429e+00 (7.5028e+00), Acc@1   5.47 (  6.39), Acc@5  16.02 ( 15.93)
Epoch: 5120/195, Time  0.395 ( 2.387), Data  0.000 ( 2.007), Loss 7.2086e+00 (7.4970e+00), Acc@1   8.20 (  6.50), Acc@5  20.31 ( 16.08)
Epoch: 5130/195, Time  0.398 ( 2.235), Data  0.001 ( 1.854), Loss 7.5213e+00 (7.4913e+00), Acc@1   7.81 (  6.59), Acc@5  20.70 ( 16.19)
Epoch: 5140/195, Time  0.386 ( 2.104), Data  0.001 ( 1.722), Loss 7.6059e+00 (7.4875e+00), Acc@1   7.42 (  6.66), Acc@5  15.62 ( 16.25)
Epoch: 5150/195, Time  0.348 ( 1.991), Data  0.001 ( 1.611), Loss 7.3765e+00 (7.4815e+00), Acc@1   6.25 (  6.75), Acc@5  16.41 ( 16.41)
Epoch: 5160/195, Time  0.372 ( 1.889), Data  0.000 ( 1.511), Loss 7.4237e+00 (7.4779e+00), Acc@1   9.77 (  6.80), Acc@5  21.09 ( 16.46)
Epoch: 5170/195, Time  0.345 ( 1.800), Data  0.000 ( 1.423), Loss 7.4743e+00 (7.4721e+00), Acc@1  10.55 (  6.87), Acc@5  22.27 ( 16.57)
Epoch: 5180/195, Time  0.354 ( 1.720), Data  0.000 ( 1.344), Loss 7.2659e+00 (7.4655e+00), Acc@1   6.64 (  6.97), Acc@5  18.36 ( 16.68)
Epoch: 5190/195, Time  0.341 ( 1.648), Data  0.001 ( 1.274), Loss 7.2708e+00 (7.4590e+00), Acc@1   8.59 (  7.03), Acc@5  17.97 ( 16.71)
Epoch: 6  0/195, Time 234.192 (234.192), Data 233.793 (233.793), Loss 7.2772e+00 (7.2772e+00), Acc@1   8.59 (  8.59), Acc@5  18.36 ( 18.36)
Epoch: 6 10/195, Time  0.347 (22.442), Data  0.001 (22.074), Loss 7.2645e+00 (7.3098e+00), Acc@1   6.64 (  8.70), Acc@5  16.80 ( 18.36)
Epoch: 6 20/195, Time  0.377 (11.927), Data  0.000 (11.563), Loss 7.2532e+00 (7.3404e+00), Acc@1   8.59 (  8.56), Acc@5  18.36 ( 18.81)
Epoch: 6 30/195, Time  0.350 ( 8.195), Data  0.000 ( 7.833), Loss 7.1934e+00 (7.3190e+00), Acc@1  10.55 (  8.92), Acc@5  20.31 ( 19.14)
Epoch: 6 40/195, Time  0.343 ( 6.404), Data  0.001 ( 6.045), Loss 7.2081e+00 (7.3041e+00), Acc@1  10.94 (  8.88), Acc@5  21.09 ( 19.17)
Epoch: 6 50/195, Time  0.355 ( 5.218), Data  0.001 ( 4.860), Loss 7.3288e+00 (7.3031e+00), Acc@1   6.64 (  8.66), Acc@5  18.36 ( 19.11)
Epoch: 6 60/195, Time  0.359 ( 4.422), Data  0.001 ( 4.063), Loss 7.3013e+00 (7.2989e+00), Acc@1   8.59 (  8.82), Acc@5  20.70 ( 19.24)
